"st_code","st_name","st_city","st_waterb","st_lat","st_long","st_start_dt","st_end_dt","error_perc"
"A6-001","RIOLANDIA","RIOLANDIA","GRANDE,R","19°58'00""","49°41'00""",1958-12-01,2000-11-30,0.293331595072029
"A7-001","POPULINA","POPULINA","GRANDE,R","19°56'00""","50°32'00""",1959-03-01,2001-01-31,7.6862796316855
"A7-002","INDIAPORA","INDIAPORA","GRANDE,R","19°59'00""","50°15'00""",1959-03-01,2001-01-31,0.287337556324691
"B6-001","ICEM","ICEM","GRANDE,R","20°20'26""","49°12'07""",1936-02-01,2023-07-31,0.813567807747669
"B6-002","MIRASSOL","MIRASSOL","FUNDAO OU DAS TRES BARRAS,COR DO","20°47'44""","49°31'20""",1937-01-01,2023-07-31,6.125288555798
"B6-003","CASTORES","ONDA VERDE","GOTINHA,COR DA/CONTINHA,COR DA","20°37'47""","49°18'27""",1937-09-01,2023-06-30,0.443395323614788
"C6-030","AGUAS DE IBIRA","IBIRA","CUBATAO,RIB","21°05'00""","49°14'00""",1940-03-01,1971-07-31,8.47930283224401
"C6-031","NOVA ITAPIREMA","NOVA ALIANCA","FARTURA,RIB DA","21°05'00""","49°33'00""",1954-06-01,2000-08-31,0.911566236533681
"C6-032","FAZENDA SANTA ERNESTINA","CATANDUVA","SAO DOMINGOS,R","21°07'00""","49°00'00""",1940-01-01,1946-07-31,0.0415973377703827
"C6-066","POTIRENDABA","POTIRENDABA","CUBATAO,RIB","21°02'37""","49°22'29""",1950-01-01,2023-06-30,0.491729995529727
"D2-076","CAPITUVA","GUARATINGUETA","GUARATINGUETA,RIB","22°45'00""","45°14'00""",1957-09-01,2022-03-31,10.9716805155164
"D2-077","FAZENDA MONTE VERDE","GUARATINGUETA","GUARATINGUETA,RIB","22°43'00""","45°21'00""",1957-08-01,2002-09-30,2.20646178092987
"D2-078","REPRESA","PIQUETE","PIQUETE,RIB","22°36'00""","45°13'00""",1961-07-01,1999-12-31,1.61416482969494
"D9-005","FAZENDA GUANA","TEODORO SAMPAIO","PARANA/PRATA/R,(DA)","22°19'00""","52°39'00""",1970-01-01,2000-09-30,0.382868845160716
"D9-006","CUIABA PAULISTA","MIRANTE DO PARANAPANEMA","PARANAPANEMA,R","22°18'00""","52°05'00""",1970-08-01,2023-07-31,3.28546337431553
"D9-014","FAZENDA ROSANELA","TEODORO SAMPAIO","PARANAPANEMA,R","22°34'00""","52°25'00""",1969-09-01,2023-06-30,0.172931183561365
"G4-003","ITACURUCA","CANANEIA","RIBEIRA DO IGUAPE,R DA/RIBEIRA,R/RIBEIRINHA,R","25°06'00""","47°55'00""",1959-02-01,1997-03-31,1.1191620632757
"G5-001","ARIRI","CANANEIA","","25°13'00""","48°02'00""",1941-01-01,1998-12-31,1.16125377643505
"G5-002","MORRO REDONDO","CANANEIA","IPIRANGUINHA,R","25°04'00""","48°08'00""",1969-08-01,1999-01-31,9.63251670378619
